# Time-averaged data for fix rdf1850out
# TimeStep Number-of-rows
# Row c_rdf1850[1] c_rdf1850[2] c_rdf1850[3] c_rdf1850[4] c_rdf1850[5] c_rdf1850[6] c_rdf1850[7] c_rdf1850[8] c_rdf1850[9] c_rdf1850[10] c_rdf1850[11] c_rdf1850[12] c_rdf1850[13] c_rdf1850[14] c_rdf1850[15] c_rdf1850[16] c_rdf1850[17] c_rdf1850[18] c_rdf1850[19] c_rdf1850[20] c_rdf1850[21]
360000 200
1 0.015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 0.075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 0.105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 466.095 0.00136986
5 0.135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136986
6 0.165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136986
7 0.195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136986
8 0.225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136986
9 0.255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136986
10 0.285 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136986
11 0.315 0 0 0 0 0 0 0 0 0 0 1.09879 1.44134e-05 0 0 0 0 0 0 0 0.00136986
12 0.345 0.00487531 1.44134e-05 0 0 0 0 0 0 0 0 1.85668 4.32401e-05 0 0 0 0 0 0 0 0.00136986
13 0.375 0 1.44134e-05 0 0 0 0 0 0 0.180909 1.44134e-05 1.95593 7.92736e-05 0 0 0 0 0 0 73.2596 0.00410959
14 0.405 0 1.44134e-05 0 0 0 0 0 0 0 1.44134e-05 3.01576 0.000144134 0 0 0 0 0 0 0 0.00410959
15 0.435 0 1.44134e-05 0 0 0 0 0 0 0.0664381 2.16201e-05 4.35886 0.000252234 0 0 0 0 0 0 27.4142 0.00547945
16 0.465 0 1.44134e-05 0 0 0 0 0 0 0.293702 5.76535e-05 1.77975 0.000302681 0 0 0 0 0 0 0 0.00547945
17 0.495 0 1.44134e-05 0 0 0 0 0 0 0.15595 7.92736e-05 1.58141 0.000353128 0 0 0 0 0 0 21.0245 0.00684932
18 0.525 0 1.44134e-05 0 0 0 0 0 0 0.137249 0.000100894 0.998476 0.000389161 0 0 0 0 0 0 18.5524 0.00821918
19 0.555 0.00187713 2.88268e-05 0 0 0 0 0 0 0.123367 0.000122514 0.53637 0.000410781 0 0 0 0 0 0 50.2165 0.0123288
20 0.585 0 2.88268e-05 0 0 0 0 0 0 0 0.000122514 0.48412 0.000432401 0 0 0 0 0 0 180.968 0.0287671
21 0.615 0 2.88268e-05 0 0 0 0 0 0 0.0335288 0.00012972 0.437768 0.000454021 0 0 0 0 0 0 27.486 0.0315068
22 0.645 0 2.88268e-05 0 0 0 0 0 0 0.0912437 0.00015134 0.132371 0.000461228 0 0 0 0 2.83075 0.000315457 61.8904 0.0383562
23 0.675 0 2.88268e-05 0 0 0 0 0 0 0.0554327 0.000165754 0.484224 0.000490055 0 0 0 0 0 0.000315457 79.4331 0.0479452
24 0.705 0 2.88268e-05 0 0 0 0 0 0 0.0255632 0.000172961 0.332289 0.000511675 0 0 0 0 0 0.000315457 41.6552 0.0534247
25 0.735 0 2.88268e-05 0 0 0 0 0 0 0.0236627 0.000180167 0.20325 0.000526088 0 0 0 0 4.39924 0.000946372 86.129 0.0657534
26 0.765 0 2.88268e-05 0 0 0 0 0 0 0.0216033 0.000187374 0.0932084 0.000533295 0 0 0 0 0 0.000946372 44.1327 0.0726027
27 0.795 0 2.88268e-05 0 0 0 0 0 0 0.0198967 0.000194581 0 0.000533295 0 0 0 0 5.61259 0.00189274 32.5815 0.0780822
28 0.825 0 2.88268e-05 0 0 0 0 0 0 0.0184762 0.000201787 0.32319 0.000562122 0 0 0 0 3.49079 0.00252366 45.4989 0.0863014
29 0.855 0 2.88268e-05 0 0 0 0 0.0567329 1.44134e-05 0 0.000201787 0.075338 0.000569328 0 0 0 0 4.90076 0.00347003 56.5635 0.0972603
