# Time-averaged data for fix rdffinalout
# TimeStep Number-of-rows
# Row c_rdffinal[1] c_rdffinal[2] c_rdffinal[3] c_rdffinal[4] c_rdffinal[5] c_rdffinal[6] c_rdffinal[7] c_rdffinal[8] c_rdffinal[9] c_rdffinal[10] c_rdffinal[11] c_rdffinal[12] c_rdffinal[13] c_rdffinal[14] c_rdffinal[15] c_rdffinal[16] c_rdffinal[17] c_rdffinal[18] c_rdffinal[19] c_rdffinal[20] c_rdffinal[21]
760000 200
1 0.015 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 0.075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 0.105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 0.135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 0.165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 0.195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 0.225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 0.255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 0.285 0 0 0 0 0 0 0 0 0 0 3.72981 4.32401e-05 0 0 0 0 0 0 0 0
11 0.315 0 0 0 0 0 0 0 0 0 0 2.03537 7.20669e-05 0 0 0 0 0 0 0 0
12 0.345 0 0 0 0 0 0 0 0 0 0 2.96995 0.000122514 0 0 0 0 0 0 0 0
13 0.375 0 0 0 0 0 0 0 0 0 0 5.38739 0.000230614 0 0 0 0 0 0 0 0
14 0.405 0 0 0 0 0 0 0 0 0 0 4.61947 0.000338714 0 0 0 0 0 0 0 0
15 0.435 0 0 0 0 0 0 0 0 0 0 1.86851 0.000389161 0 0 0 0 0 0 0 0
16 0.465 0 0 0 0 0 0 0 0 0.107575 1.44134e-05 1.63538 0.000439608 0 0 0 0 0 0 0 0
17 0.495 0 0 0 0 0 0 0 0 0.284925 5.76535e-05 3.91748 0.000576535 0 0 0 0 0 0 0 0
18 0.525 0 0 0 0 0 0 0 0 0.0844021 7.20669e-05 4.39916 0.000749496 0 0 0 0 0 0 0 0
19 0.555 0 0 0 0 0 0 0 0 0 7.20669e-05 1.47609 0.000814356 0 0 0 0 0 0 92.2774 0.00821918
20 0.585 0 0 0 0 0 0 0 0 0 7.20669e-05 0.885688 0.000857596 0 0 0 0 0 0 83.0537 0.0164384
21 0.615 0 0 0 0 0 0 0 0 0 7.20669e-05 0.668012 0.000893629 0 0 0 0 0 0 175.329 0.0356164
22 0.645 0 0 0 0 0 0 0 0 0 7.20669e-05 0.850198 0.000944076 0 0 0 0 0 0 204.963 0.060274
23 0.675 0 0 0 0 0 0 0 0 0 7.20669e-05 0.998064 0.00100894 0 0 0 0 0 0 166.364 0.0821918
24 0.705 0 0 0 0 0 0 0 0 0.117058 0.0001081 0.609967 0.00105218 0 0 0 0 0 0 123.897 0.1
25 0.735 0 0 0 0 0 0 0 0 0.0430695 0.000122514 0.280586 0.0010738 0 0 0 0 4.03989 0.000630915 61.3863 0.109589
26 0.765 0 0 0 0 0 0 0 0 0.0596496 0.000144134 0.0863397 0.001081 0 0 0 0 13.0475 0.00283912 89.0462 0.124658
27 0.795 0 0 0 0 0 0 0 0 0 0.000144134 0 0.001081 0 0 0 0 3.45151 0.00347003 97.4501 0.142466
28 0.825 0 0 0 0 0 0 0 0 0 0.000144134 0 0.001081 0 0 0 0 9.61746 0.00536278 97.4425 0.161644
29 0.855 0 0 0 0 0 0 0 0 0.0159164 0.00015134 0 0.001081 0 0 0 0 4.47784 0.00630915 97.2079 0.182192
30 0.885 0 0 0 0 0 0 0.0242807 7.20669e-06 0.0297112 0.000165754 0 0.001081 0 0 0 0 0 0.00630915 102.817 0.205479
31 0.915 0 0 0 0 0 0 0.0227091 1.44134e-05 0.0138986 0.000172961 0 0.001081 0 0 0 0 0 0.00630915 84.8854 0.226027
32 0.945 0 0 0 0 0 0 0.0851626 4.32401e-05 0.0130277 0.000180167 0 0.001081 0 0 0 0 0 0.00630915 68.9687 0.243836
33 0.975 0.00167764 4.32401e-05 0.00252073 7.20669e-06 0 0 0.0399994 5.76535e-05 0.0367203 0.000201787 0 0.001081 0 0 0 0 0 0.00630915 64.7901 0.261644
